sentence,implied_statement
no regrets ! way to go guys . no more white shame . no more white guilt .,Minorities use shame and guilt to get their way.
no regrets ! way to go guys . no more white shame . no more white guilt .,White people shouldn't be ashamed of themselves.
racist or white supremacy would want nothing more than government programs . a single generation of welfare destroys so many skills  fathers,White people want government benefits.
racist or white supremacy would want nothing more than government programs . a single generation of welfare destroys so many skills  fathers,Supremacists want to feed off the government
only hope for the white race is to form separate b / w nations otherwise we'll forever be victims of communism & class envy .,Minorities are jealous of whites
only hope for the white race is to form separate b / w nations otherwise we'll forever be victims of communism & class envy .,White people need to stick together.
i'm surprised white men with guns weren't there to shoot the protesters . white men are born holding guns .,Whites use violence to settle their disputes.
i'm surprised white men with guns weren't there to shoot the protesters . white men are born holding guns .,White men are violent.
islamist wanting to kill jews  who would have thought ? #islam,Islamic people are murderers.
islamist wanting to kill jews  who would have thought ? #islam,Muslims murder jews
are you on a kill list ? islamic state has posted names of 15000 american citizens on kill lists . #scn,Muslims target people for murder.
are you on a kill list ? islamic state has posted names of 15000 american citizens on kill lists . #scn,Islamic people are killers.
i'm not a racist at all but i mean all the numbers are saying caucaisian people are set to disappear soon so i'm for keeping the race,White people are being driven extinct
i'm not a racist at all but i mean all the numbers are saying caucaisian people are set to disappear soon so i'm for keeping the race,non-white people want to displace whites
#algorithm white power !,White people are superior.
#algorithm white power !,non-white people are inferior
i then remember that my retort was that jewish power and control was our biggest issue.guess who was right ?,Jews are a problem.
i then remember that my retort was that jewish power and control was our biggest issue.guess who was right ?,Jews crave power
the white race is finished .,White people are dying out.
the white race is finished .,non-white people are a threat
white people who hate #nazis have never considered what true #nationalsocialism could actually create for their benefit .,People of color are inferior to white people
white people who hate #nazis have never considered what true #nationalsocialism could actually create for their benefit .,White people are better than other races.
santa claus is white and belongs to white people ! #nationalsocialism #nationalism,non-white people are inferior
santa claus is white and belongs to white people ! #nationalsocialism #nationalism,White people own Santa.
when white people accuse other white people of being white . the most bizarre form of intolerance and racism .,White people hate other white people.
when white people accuse other white people of being white . the most bizarre form of intolerance and racism .,Progressives are prejudiced
in the book ' eye for an eye '  #jewish author john sack brags about the evils his people perpetrated on the germans after the war . #torture,Jews attack whites
in the book ' eye for an eye '  #jewish author john sack brags about the evils his people perpetrated on the germans after the war . #torture,Jews are evil.
isis is in the white house . that's why the border is open .,Muslims are taking over the country
isis is in the white house . that's why the border is open .,Muslims don't belong in the White House.
america was founded and built by white people - simple fact my friend . you may not like it but it's true,White people built America.
america was founded and built by white people - simple fact my friend . you may not like it but it's true,Minorities are substandard
this is why people have to come all the way from south china to teach africans how to mine in their own countries,Black people are stupid
this is why people have to come all the way from south china to teach africans how to mine in their own countries,Africans are stupid.
recruiting white nationalist with a jew as your mascot ? talk about mixed message .,White nationalists don't like Jews.
recruiting white nationalist with a jew as your mascot ? talk about mixed message .,Jews are a below average race.
anti-white weimerica .,Minorities are against whites
you are so right . why r muslims commanded to kill all jews by muhammad ? love ?,Muslims promote murder
you are so right . why r muslims commanded to kill all jews by muhammad ? love ?,Muslims want to kill Jews.
she doesn't recognize white people's right to exist  and alexandria is 60 % white  so why would she care ? it's simple math .,White people have rights.
she doesn't recognize white people's right to exist  and alexandria is 60 % white  so why would she care ? it's simple math .,Minorities treat whites with disdain.
massive white revolution *,Minorities are against whites.
massive white revolution *,non-white people are oppressors
white ( guilt ) knight,whites feel racism guilt
you are hereby condemned for your hostile posture towards the white civil rights movement . #unitetheright,Minorities oppress whites
you are hereby condemned for your hostile posture towards the white civil rights movement . #unitetheright,anti-white
the sky high crime rates in the black communities kill many more people than police or white racism . #ferguson #,Blacks destroy their own communities
the sky high crime rates in the black communities kill many more people than police or white racism . #ferguson #,Black people are killers.
retweeted national socialist ( ): #germany could bypass sweden as the muslim rape ...,Muslims are sexual deviants.
retweeted national socialist ( ): #germany could bypass sweden as the muslim rape ...,Muslims rape non-muslims
i met many africans in france  they say one thing : rule under europeans was much better  whites even ended slavery in africa ! it wasnt arabs,Minorities agree that white rule is fair.
i met many africans in france  they say one thing : rule under europeans was much better  whites even ended slavery in africa ! it wasnt arabs,Arabians are worse than white people.
previous article hid his black race - but i knew it was a black male killing a young white woman,Black folks are murderers
previous article hid his black race - but i knew it was a black male killing a young white woman,Blacks are violent.
" rt : the white #aryan race has been-throughout history-the most creative & culturally constructive race of people .  "" : ' ' ' ) """,non-white people inferior
" rt : the white #aryan race has been-throughout history-the most creative & culturally constructive race of people .  "" : ' ' ' ) """,Minorities are inferior to whites
one more cop shot by a muslim . it was a woman so mainstream media doesn't care to report ...,Muslim women are coddled
one more cop shot by a muslim . it was a woman so mainstream media doesn't care to report ...,Muslims are violent
hey hillary why do you take millions in donations from arab nations who beat rape and kill innocent women and young girls ?,Arabians are killers.
hey hillary why do you take millions in donations from arab nations who beat rape and kill innocent women and young girls ?,Arabs are rapists and murderers
eating beef is neither a essential part of islam nor is it a marker of secularism . the only idea of making it so is to humiliate the hindus,Muslims hate Hindus.
eating beef is neither a essential part of islam nor is it a marker of secularism . the only idea of making it so is to humiliate the hindus,Islamic people want to humiliate the Hindus.
this thing is crushing . feels like a big defeat  all sides denying #altright #viewsfromthenotsogreatwhitenorth,Minorities are trying to destroy whites.
new black panther party got suspended for posting about jews . dont worry  anti-white hate and threats of violence is still allowed on the platform .,Black people don't like Jews.
new black panther party got suspended for posting about jews . dont worry  anti-white hate and threats of violence is still allowed on the platform .,Blacks are racist hypocrites.
auschwitz - april 1944 - the sick and disabled . : according to the fable of auschwitz  if you were not fit for ...,Jews are dishonest liars.
auschwitz - april 1944 - the sick and disabled . : according to the fable of auschwitz  if you were not fit for ...,Jews exaggerate their persecution
whites of south africa prepare for evacuation as genocide looms via,Blacks want to destroy white culture.
whites of south africa prepare for evacuation as genocide looms via,Non-whites in South Africa want to harm whites.
i want to save lives  cut costs  and save our major cities . and disarming black people is the most effective solution #nra,Blacks are violent
i want to save lives  cut costs  and save our major cities . and disarming black people is the most effective solution #nra,Black people don't need guns.
understanding women and how the jew ruined her and white society . pls ck my latest thx !,Jewish people ruined white society
understanding women and how the jew ruined her and white society . pls ck my latest thx !,Jews are bad for the white people.
excellent ! the jihad of words via,Muslims want war
9 year old white boy commits suicide after being tormented for months by racist arabs | read more :,Arabians are racist.
9 year old white boy commits suicide after being tormented for months by racist arabs | read more :,Arabs are cruel.
the violent ideology that threatens human life has to be stopped  where ever it is taught . if mosques  so be it !,Muslims advocate for violence.
cair we all know what and who you are - it isn't islamophobic when they really are trying to kill you ! #banshariah,Islamic people are killers.
cair we all know what and who you are - it isn't islamophobic when they really are trying to kill you ! #banshariah,Muslims target whites for violence.
it's political parties like you that make america the great white god loving nation in is today #feelsgoodtobewhite,Minorities are second class citizens
it's political parties like you that make america the great white god loving nation in is today #feelsgoodtobewhite,White people are great.
#kkk  i do not mind your booklet . how can i support ? ? ?,non-white people are enemies
#kkk  i do not mind your booklet . how can i support ? ? ?,People of color are inferior to white people
belgium : non-white invader rapes white woman after dont rape course : via,Non-whites rape whites
pro-american pro-identitarian easily defensible easy to understand great optics .,right-wing extremists are patriotic.
your white privilege is showing through bro #maga,White people are priveleged.
your white privilege is showing through bro #maga,Whites have special privilege
if this happens in dixie  they may get what they want . an antifa shot dead  so they can condemn the who,Southern whites want a race war.
if this happens in dixie  they may get what they want . an antifa shot dead  so they can condemn the who,White people want to kill antifa members.
media is no more corrupt or clean than politicians  bizmen and even ngos ... it is following yug dharma .,media is corrupt
there are no white people holding you down in jamaica or zimbabwe or ethiopia or liberia . #freedomfailed,White people stop others from progressing.
there are no white people holding you down in jamaica or zimbabwe or ethiopia or liberia . #freedomfailed,Black people are to blame for their failures
: billy roper  white nationalism 1.0 and #unitetheright via,White people should unite.
: billy roper  white nationalism 1.0 and #unitetheright via,Minorities are less than whites
obama white southerners don't hate you because you're black they despise you because you are anti american,Blacks are anti-white
obama white southerners don't hate you because you're black they despise you because you are anti american,White southerners are racists.
sorry my friend . white genocide in just inside some white supremacists or paranoiacs brain . indian  black  armenian  jews genocides were real,white supremacists are paranoid
sorry my friend . white genocide in just inside some white supremacists or paranoiacs brain . indian  black  armenian  jews genocides were real,Right-wing whites are crazy
" deadly syllables > mc / mc-cas-kill : loon who enjoys her  "" love pat for the day from the tsa ; ; kill : ill-egals thrive & kill in cities """,Illegals are murderers
al qaeda draws up india hitlist  may target n-plants &,al-queda wants to kill Indians
al qaeda draws up india hitlist  may target n-plants &,Muslims are killers
white culture ( shaped by history ) is superior  why else would people across the globe flock to the civilizations founded on white cultures ?,White people are better than others.
white culture ( shaped by history ) is superior  why else would people across the globe flock to the civilizations founded on white cultures ?,Minorities are less than whites
race war brewing : dallas shooter confirmed member of new black panther party | read more : via,Blacks want a war with whites.
race war brewing : dallas shooter confirmed member of new black panther party | read more : via,Black Panthers are killers.
muslims are commanded to kill all jews ! see verse :,Muslims want to kill jewish people
muslims are commanded to kill all jews ! see verse :,Muslims want to kill Jews.
trump adviser says he will ban muslim brotherhood and its offshoots cair  isna via,Muslims are dangerous.
wow ... only in jew run america could something like this happen . what an outrage !,Jews aren't fair.
wow ... only in jew run america could something like this happen . what an outrage !,Jews control behind the scenes
milo can be useful to an extent . his gayness makes lefties more receptive to him . i started with milo and ended at the alt-right,Leftists are easily manipulated
milo can be useful to an extent . his gayness makes lefties more receptive to him . i started with milo and ended at the alt-right,Lefties like gay people.
california is an anti-white state . theblaze,Progressives dislike whites.
california is an anti-white state . theblaze,Californians don't like white people.
aren't you busy making excuses for syrian rapists ?,Syrians are violent criminals
aren't you busy making excuses for syrian rapists ?,Syrians are rapists.
> gaytriot front > white nationalist,Gays are better than white nationalists.
> gaytriot front > white nationalist,Whites are secretly gay.
white power and proud ! ! !,White people are more powerful
white power and proud ! ! !,non-white people are enemies
black lives matter philly bans whites from upcoming meaning . since rachel dolezal claims to black i guess she would still be invited,Black people are hypocrites
black lives matter philly bans whites from upcoming meaning . since rachel dolezal claims to black i guess she would still be invited,Black people are racist.
black on white murders grow more sadistic in south africa ( video ) via,Black people want to kill white people.
black on white murders grow more sadistic in south africa ( video ) via,Blacks kill whites
white nationalism is a religion of peace .,White people are peaceful.
white nationalism is a religion of peace .,Minorities are inferior
thats 5 white boys . thank you  but im black,Whites are inferior.
. : ' sentencing reform ' bill rewrite will release illegal alien drug traffickers via,Illegal aliens are drug traffickers.
. : ' sentencing reform ' bill rewrite will release illegal alien drug traffickers via,Illegals are criminals
: ... also  organized jewry and anti-white blacks a,Blacks are against whites.
what are you doing for the preservation of your white race ? . - join us ! !,Minorities are killing off the white race
what are you doing for the preservation of your white race ? . - join us ! !,White people should be saved.
happy birthday to the greatest leader of the 20th century ! #420 #happybirthdayhitler,Jews are inferior
happy birthday to the greatest leader of the 20th century ! #420 #happybirthdayhitler,Minorities are inferior to whites.
cabela's is the last stand of implicit white identity .,White people shop at Cabela's.
cabela's is the last stand of implicit white identity .,Minorities are looking to wipe out whites
whiteness is supreme in white countries . every other race is even more ethnocentric than even whites are  in their respective countries,White people are better than other races.
whiteness is supreme in white countries . every other race is even more ethnocentric than even whites are  in their respective countries,Minorities are separatists
not all terrorists are muslims ( some are jews )  but all serial killers are jews pretending to be white . is pushing her lies,Jews are serial killers.
not all terrorists are muslims ( some are jews )  but all serial killers are jews pretending to be white . is pushing her lies,Jews are murderers
the key to maintaining a civilized society is maintaining the white race ! deport the third worlders !,immigrants are uncivilized
the key to maintaining a civilized society is maintaining the white race ! deport the third worlders !,deport the third worlders
when 3035 th white farmer shot dead in south africa in front of wife #swrm #white #wpww via,Black people are violent
when 3035 th white farmer shot dead in south africa in front of wife #swrm #white #wpww via,South Africans hate white people.
and wealthy whites will have to go with us or risk having the marxists confiscate all of their wealth to give to -,Minorities are communists
via : 9 steps to successfully counter jihad #tcot,Muslims want to wage war on the world.
also we want people to integrante and for white people to not become a persecuted minority  because wha,Minorities oppress whites
also we want people to integrante and for white people to not become a persecuted minority  because wha,White people are becoming a minority.
basic human rightswhat for so how are u guys on jews and blacksben n i hate them,jews and blacksben n i hate them
basic human rightswhat for so how are u guys on jews and blacksben n i hate them,Black people and Jewish people don't deserve human rights
jews and mudslims united against white civilization,Jews don't like white people.
jews and mudslims united against white civilization,Jews and Muslims are at war with the white race
& muz b'hood = hate . these ppl want to kill us & destroy our way of life . must be classified as terror org . ban sharia law . god bless,Muslims destroy other religious people
& muz b'hood = hate . these ppl want to kill us & destroy our way of life . must be classified as terror org . ban sharia law . god bless,Muslims want to annihilate whites.
i suppose european patriots do ' hate ' in the sense they hate the idea of white demise and displacement .,Minorities are tearing down the white race
another white man shot by negroes over confederate flag on his car | full story :,Blacks are violent criminals.
another white man shot by negroes over confederate flag on his car | full story :,Black people are killers.
yeah  we're on the road to defeating the islamic state ... the wrong road ...,Muslims are inferior
don't think the white public won't turn against the blm unless the lying media tells them to . the white public rejects the media,Black people are dangerous
don't think the white public won't turn against the blm unless the lying media tells them to . the white public rejects the media,White people hate the media.
cuckservatives : trump and white identity politics : is trump mainstreaming white identity politics ?,conservatives are not masculine
ok . youre pretty straightforward tho . all white america survives  all else dies . am i close ?,Whites want to exterminate all other cultures
ok . youre pretty straightforward tho . all white america survives  all else dies . am i close ?,White people hate other races
blacks are 1/6 white population . shoot someone at random 5/6 chance they are white .,White people are killed more than black people.
blacks are 1/6 white population . shoot someone at random 5/6 chance they are white .,Blacks are second rate
what is #hatespeech ? homosexuals & jews relentlessly smear christians & white males.why isn't that hate speech ?,relentlessly smear Christians
what is #hatespeech ? homosexuals & jews relentlessly smear christians & white males.why isn't that hate speech ?,Jews hate Christians.
not knowing the context of your post  i'll assume it's in sync with unveiling the deceit targeted against the adolf hitler .,Minorities lie to get their own way.
new economics term : racial inelasticity - when you tax a race more  but they still vote for the group taxing them . e . g . progressive whites .,Progressive whites are dumb.
you can take away our monuments but you can't erase history #heartbreaking,Minorities are destroying white culture
white lives matter rallies against the blm kidnapping in chicago via,Black Lives Matter supporters kidnap people
waffen-ss reenactor t-shirt from the white resister | read more : via,non-white people are inferior
#bible = do not kill ( fullstop ) . #islam = do not kill the #unjustly ( ? ),Muslims murder innocents
#bible = do not kill ( fullstop ) . #islam = do not kill the #unjustly ( ? ),Islamic people are killers.
: swedish patriots burn down more facilities for non-white invaders,Non-white people are invaders.
: swedish patriots burn down more facilities for non-white invaders,Minority immigrants are taking over
i get a racist vibe from u caroline not that ur white more like a lesser mexican country,Mexicans are inferior
i get a racist vibe from u caroline not that ur white more like a lesser mexican country,Mexicans are lower than whites.
muslims attack - a common theme around the world ! !,Muslims are violent.
muslims attack - a common theme around the world ! !,Muslims are violent killers.
why bring them here if there is no place to live ? no jobs ? what the ...,Immigrants take what belongs to citizens.
why bring them here if there is no place to live ? no jobs ? what the ...,Immigrants shouldn't come to the country.
ethnic norwegians disappearing as non-white colonization intensifies #swrm via,non-white people are colonizers
ethnic norwegians disappearing as non-white colonization intensifies #swrm via,Immigrants are destroying white culture
netherlands : 65 % of 1990s immigrants on welfare | read more : via,immigrants are unemployable
netherlands : 65 % of 1990s immigrants on welfare | read more : via,Immigrants are given welfare
look at the word games though . i organized the rally & i'm not a ' racist ' or ' neo-nazi ' . i'm pro-white,non-white people are inferior
at least the fires still lit there's hope . i wish us white had our own homeland achieved peacefully but achieved at all is a +,non-white people should be segregated
never seen nyt going into an outburst  when hindus are being targeted on a regular basis in malabar  kashmir,Hindus are in danger.
never seen nyt going into an outburst  when hindus are being targeted on a regular basis in malabar  kashmir,Liberals are hypocrites
: raymond ibrahim : the muslim will vs . the western way,Muslims don't like westerners.
: raymond ibrahim : the muslim will vs . the western way,Muslims want to end western civilization.
don't bother sending your son to #boyscouts anymore ... #perversion #family #children,Boy scout leaders are perverts
don't bother sending your son to #boyscouts anymore ... #perversion #family #children,Boy Scout members are perverse.
: boycott the anti-white racist censorship  boycott zuckerbergs facebook :,Non-whites are racist.
: boycott the anti-white racist censorship  boycott zuckerbergs facebook :,Progressives are prejudiced to whites
sadly this is what the older jewish sect wants . a black on white race war,jewish people want a race war.
sadly this is what the older jewish sect wants . a black on white race war,Jews wants black and white race to fight each other
in b k dutt colony  3 public parks out of 6 have been encroached by muslims in name of wakfboard.outsider muslims stop hindus 2 enter,Muslims take power from others.
definitely not on our side ! better luck next presidential election white america !,Whites are losers
definitely not on our side ! better luck next presidential election white america !,White people need to vote in the election.
mexicans and mestizos aren't white . spaniards are white .,Mexicans and Mestizos are inferior
mexicans and mestizos aren't white . spaniards are white .,Spanish people are considered white.
is capitalism the death warrant of the white race or is capitalism simply a means for western society to function without prejudice ?,Minorities want to destroy whites
is capitalism the death warrant of the white race or is capitalism simply a means for western society to function without prejudice ?,non-white people are a threat
has numerous excellent articles on their site proving that white people are the only race who take care of the environment .,White people care about the environment.
has numerous excellent articles on their site proving that white people are the only race who take care of the environment .,White people takes care of environment
we either have laws or we don't . your here legally or not . it's black and white . illegals are illegal .,Illegals believe the law doesn't apply to them.
we either have laws or we don't . your here legally or not . it's black and white . illegals are illegal .,Immigrants shouldn't be here.
dutch arrest 12 thought to be ready to launch jihad attack #islam #islamophobia,Muslims are dangerous
dutch arrest 12 thought to be ready to launch jihad attack #islam #islamophobia,Islamic people are violent.
see your point but she wasn't killed by a white policeman so bye laquesha . we have the statues and have to attack dolly parton too white .,Minorities blame whites for their problems.
white liberals are the most racist people i know .,White liberals are racist.
white liberals are the most racist people i know .,Liberals are prejudiced
push congress to overturn gay marriage / roev wade rulings  article 3 section 2 - constitution  obama can't veto it ! #popefrancis #teaparty,Gays are deviants
push congress to overturn gay marriage / roev wade rulings  article 3 section 2 - constitution  obama can't veto it ! #popefrancis #teaparty,LGBTQ people don't deserve equal rights
you mean white genocide,White people are becoming the minority.
you mean white genocide,Minorities destroy white culture
it's met with hate because white people like me have a mixed race family  friends of every color and religion . that's my tribe . feel bad 4 u,mixed race doesn't fit in one race
white resistance increases as minority status looms | read more : via,People of color are taking over from white pepople
white resistance increases as minority status looms | read more : via,Minorities try to take rights that don't belong to them.
white people are going to fight back . we have every right to resist our own genocide .,Minorities have been trying to destroy whites.
white people are going to fight back . we have every right to resist our own genocide .,White people are in danger.
then i'm a racist who stands with you !,Black folks have no respect
then i'm a racist who stands with you !,Racism is okay
but mormons are so white and reproduce like jackrabbits .,Mormons have a lot of kids.
but mormons are so white and reproduce like jackrabbits .,Mormons are sexual deviants
groups like have rallied in #charlottesville before without incident . it's groups like & other #antifa groups .,Liberals are violent and cause riots
that's true . now we're thinking how to make deeper inroads in europe . we are going to kill kosher conservatism .,Jews are enemies
antifa & other commies will be there  of course . if cops standdown like #charlottesville  mi,Progressives are communists.
antifa & other commies will be there  of course . if cops standdown like #charlottesville  mi,antifa are agitators.
now while out the white population . what happens ?,Minorities are pushing out whites
using your #racist logic  since all the mass murders were by white people  they need to be disarmed . #racism,White people are mass murderers.
using your #racist logic  since all the mass murders were by white people  they need to be disarmed . #racism,Liberals are ignorant
basically liberia in the south,Liberians are unsophisticated
steve clevenger is suspended for speaking out against the anti-white attacks in #charlotte and the anti-white hate of #blm .,White people are ignored by mass media
hunter  you do know i'm a jew . i hope you mean to diss liberal jews  not us hardline rightwinger jews .,Liberals are inferior compared to conservatives.
how dare explicitly pro-white folks think they have the right of assembly ! anti-racist is a code word for #antiwhite .,non-white people are threatening
how dare explicitly pro-white folks think they have the right of assembly ! anti-racist is a code word for #antiwhite .,White people think they have all kinds of rights.
deflection-projection . the only real violence comes from antifa types who go out of their wa,Leftists are aggressive and violent
deflection-projection . the only real violence comes from antifa types who go out of their wa,Antifa are violent.
were the duggars proposing religious freedom to molest act ? exec order from jindal coming ?,Religious groups want to molest people.
: not only is he not a white supremacist  he's a true friend of the jews - probably the best in the wh .,Jews are substandard people
: not only is he not a white supremacist  he's a true friend of the jews - probably the best in the wh .,White people think they are the best race.
cops kill more whites than blacks .,Cops don't kill many black people.
cops kill more whites than blacks .,Blacks are dishonest about race
why did nbc scrub osu jihadist facebook quotes ? this is msm diluting the truth of political islam . #ohiostate,Whites muffle the voices of Islam.
why did nbc scrub osu jihadist facebook quotes ? this is msm diluting the truth of political islam . #ohiostate,Muslims are oppressive
real appelaing for whites . get to the back of the bus and bend over . you antiwhites have shown your true colors .,Black people are inferior to white people and need to be segregated
real appelaing for whites . get to the back of the bus and bend over . you antiwhites have shown your true colors .,People of color are not as important as whites.
i'm white and jewish  can i join your party ? oh that's right neither of those are qualifiers to be american . #maga brother,Progressives are racist.
i'm white and jewish  can i join your party ? oh that's right neither of those are qualifiers to be american . #maga brother,White people make up America.
don't quit tex ! we are all gonna get swole and save the white race together,whites are becoming the minority
don't quit tex ! we are all gonna get swole and save the white race together,Minorities are inferior
black student unions unmolested  but white ones banned all over . is there a conspiracy to suppress white identity ?,Blacks are oppressing whites
black student unions unmolested  but white ones banned all over . is there a conspiracy to suppress white identity ?,White people are treated worse than black people.
pastors take note ; white architect designed your church  whites built it  whites paid for it . white supremacy = good,Minorities are incompetent to meet their own needs
pastors take note ; white architect designed your church  whites built it  whites paid for it . white supremacy = good,White people create good things.
jew  white and damned proud red  white and blue gun totin ' pick-up drivin ' south texas redneck here . but of euro ancestry,Minorities are subpar humans
jew  white and damned proud red  white and blue gun totin ' pick-up drivin ' south texas redneck here . but of euro ancestry,People from Texas have guns and trucks.
hey . i'm white  you should follow me back . keep it classy  keep it white .,White people are classy.
hey . i'm white  you should follow me back . keep it classy  keep it white .,Minorities are inferior
long term  you in for secession or white deep state leading to ethnostate ?,whites are against minorities
long term  you in for secession or white deep state leading to ethnostate ?,Minorities are inferior.
84 % of all wanted criminals in copenhagen are non-white | read more : via,Non-whites are criminals.
84 % of all wanted criminals in copenhagen are non-white | read more : via,non-white people are criminals
hey racists  send me home to africa . i'm a gay black jew-boy and i want to go home to africa where i belong !,Blacks are inferior.
hey racists  send me home to africa . i'm a gay black jew-boy and i want to go home to africa where i belong !,whites hates blacks
jews have aipac  splc and the adl . why is it white europeans can't have the alt-right ?,Jews are devious
jews have aipac  splc and the adl . why is it white europeans can't have the alt-right ?,Jews get special treatment.
let's organize a #buildthewall standoff protest in washington the biggest and boldest protest by whites ever,Immigrants bring down society
listen up kkk . if u want up,Minorities are subpar compared to whites
if you take them literally ( as i do ) there are only 1 race that matters : the white race . #hailvictory,White people are the only important race.
if you take them literally ( as i do ) there are only 1 race that matters : the white race . #hailvictory,Minorities are second class races.
you mean the constitution written by white people for white people ? those conservatives would deny that !,Whites are self-serving
you mean the constitution written by white people for white people ? those conservatives would deny that !,White people founded the country.
white people are waking up and throwing away years of white guilt  that as been pushed relentlessly by the left . #antiwhite #ukip #pegida,Liberals promote white self-hatred
white people are waking up and throwing away years of white guilt  that as been pushed relentlessly by the left . #antiwhite #ukip #pegida,White people should be feeling guilty.
jew run google soliciting donations to support non-white invasion of europe via,Jews support the extinction of the white race
jew run google soliciting donations to support non-white invasion of europe via,Jews manipulate money.
the first college was built in africa . the second college of the world was built in spain by africans . u will say africans are white . lol,White people think black people are stupid
the first college was built in africa . the second college of the world was built in spain by africans . u will say africans are white . lol,Blacks are inferior to whites
ever notice how jews are only ' white ' when it serves their agenda ?,Jews manipulate the truth for their own ends.
ever notice how jews are only ' white ' when it serves their agenda ?,Jews are hypocrits.
: csp poll ( 2015 ): 29 % of muslim-americans : violence against those who insult muhammad is acceptable,Muslims are dangerous
: csp poll ( 2015 ): 29 % of muslim-americans : violence against those who insult muhammad is acceptable,Muslims are violent.
i take that back . one of his parents must be white . not purebred,"People of color are inferior to white people, even if one of their parents is white"
you are the personification of white guilt . you disgust me .,White people are disgusting.
you are the personification of white guilt . you disgust me .,Minorities use guilt as a weapon
: the extermination of the white race : the facts about britain and non-white immigration,Minority immigrants try to wipe out white culture.
: the extermination of the white race : the facts about britain and non-white immigration,White people are being killed.
forget this white nationalist mess . i'm america first . so is our great potus and true patriots . color has nothing to do with being a nationalist libnuts ! if you don't want a strong america  why are you in america ?,White people make America stronger.
forget this white nationalist mess . i'm america first . so is our great potus and true patriots . color has nothing to do with being a nationalist libnuts ! if you don't want a strong america  why are you in america ?,Liberals hate America
compensation for holocaust victims deported by rail company : seems they just found other source to milk some o ...,Jews are greedy.
what white people go to synagogues ?,White people don't like Jews.
what white people go to synagogues ?,Jews are not white
rt our great white race is coming back 2 life and does not like what we all see in america . sieg heil ! #workingclass,Minorities bring down societies
rt our great white race is coming back 2 life and does not like what we all see in america . sieg heil ! #workingclass,White people are the best race.
you can expel white muslims too ! white christians is pretty much the basis of the identity .,Whites are racist.
you can expel white muslims too ! white christians is pretty much the basis of the identity .,Muslims are incompatible with Christians
white children are disproportionately the v,Minorities are inferior.
these people should find it hateful and offensive to behead & honor kill . not you exposing those who behead & honor kill .,Muslims are hypocrites
these people should find it hateful and offensive to behead & honor kill . not you exposing those who behead & honor kill .,Muslims are violent.
show your pride with wpww t-shirts from the white resister via,non-white people are inferior
show your pride with wpww t-shirts from the white resister via,Minorities are inferior to whites
follow it's not islamophobia when they are trying to kill you .,Islamic people are killers.
follow it's not islamophobia when they are trying to kill you .,Muslims want to murder whites.
amen ! that's why i only support what is openly pro white  no code words  just pure white pride !,Minorities are substandard races
amen ! that's why i only support what is openly pro white  no code words  just pure white pride !,White people are better than others.
#immigration courts ' operating in crisis mode  ' judges say via #noamnesty,Immigrants are a drain on the government
white genocide alert .. detroit : the death of white civilisation | more : via,Minorities want to destroy white culture.
white genocide alert .. detroit : the death of white civilisation | more : via,White people are dying.
and the kicker 70 % of the agents are white . know the facts before you idiots make false statement . take white selves back to europe .,Whites control all the power
and the kicker 70 % of the agents are white . know the facts before you idiots make false statement . take white selves back to europe .,White people should go back to Europe.
nazism & white supremacy are not at all incompatible with jihad terror : you're in denial .,White people are against Muslims.
nazism & white supremacy are not at all incompatible with jihad terror : you're in denial .,Muslims are terrorists
. jeb cares about mestizos ( like his wife and kids )  he seems to loath white people .,White conservatives hate the white race.
yes ~ blacks & hispanics but the asians need police to protect them from those 2 racial / ethnic groups,Asians need protection from blacks and Hispanics.
yes ~ blacks & hispanics but the asians need police to protect them from those 2 racial / ethnic groups,Blacks and Hispanics are dangerous
anti-white propaganda from ( ( ( hollywood ) ) ) ...,Liberals are against whites.
: dr . david duke : the racial murder and rape of white women in america,white women are discriminated against
: dr . david duke : the racial murder and rape of white women in america,White women are raped and murdered.
your statement is utter rubbish . jews killed over 70 million people at the same time ( inclu,Jews are killers
your statement is utter rubbish . jews killed over 70 million people at the same time ( inclu,Jewish people are violent murderers
i think it is called jewish supremacy ! #jewishprivilege #future,Jewish people are better than others.
i think it is called jewish supremacy ! #jewishprivilege #future,Jewish people think they're better than everyone
uk has been spelling radical islamic terrorism as random  drunk asian person,Asians are drunks.
uk has been spelling radical islamic terrorism as random  drunk asian person,Muslims are violent fanatics.
they hate you because the jew controlled mainstream media is brainwashing them . #jewishsupremacy,Jews control everything.
they hate you because the jew controlled mainstream media is brainwashing them . #jewishsupremacy,Jews try to control others.
that's the only kind of white male who would vote for clinton . is he gay ?,White men are gay.
that's the only kind of white male who would vote for clinton . is he gay ?,Gays are substandard.
another dead white girl at the hands of a black . they're ver going to learn .,Blacks are violent criminals
another dead white girl at the hands of a black . they're ver going to learn .,Black people kill white people.
my traps help save the white race,Minorities are less than whites
i remember a video or audio file in which he said something like the white race needs to be blended out of existence,White people shouldn't exist.
i remember a video or audio file in which he said something like the white race needs to be blended out of existence,Whites are inferior
: american diversity work in progress : black teens kill white girl for bicycle via,Black folks kill white women
infidels r infidels .. allah is not racist  he hates all the same  be it white  brown or yellow,Muslims are hateful
germany : 1.2 % of non-white invaders working #swrm via,Non-white people are lazy.
germany : 1.2 % of non-white invaders working #swrm via,Immigrants steal citizens' jobs
every white woman in america and other white nations needs to be able to handle a firearm ! !,Minorities want to kill whites.
